model,split,MCC,F1_macro,PR_AUC,ROC_AUC,FPR_at_TPR95,MCC_opt
cnn,within,0.9968983946342682,0.9984472880234136,0.9999227918163757,0.9999659301939132,9.177526739975638e-05,
tcn,within,0.9973915158948218,0.9986957565448249,0.9999307934222422,0.999970074395265,6.34083665671044e-05,
bilstm,within,0.9966262776161557,0.9983129543538363,0.999798733068261,0.9998967295020332,6.173972534165429e-05,
gru,within,0.996623793544574,0.9983117341571175,0.9997976233233757,0.9998959393124232,7.008293146890487e-05,
transformer,within,0.9973557040876818,0.998676684930682,0.9999183009659094,0.9999638599775041,6.173972534165429e-05,
φ_agg,within,0.9977973261156861,0.9988984497810429,0.9999371661584926,0.9999764084535596,1.5017771029051044e-05,
cnn,cross,0.43465318902916833,0.6608060000239471,0.5753687547903348,0.5609780430539735,0.9973347464559312,0.6216525512297436
tcn,cross,0.45827857479009526,0.6641141734705467,0.7922766007501263,0.9112229208938514,0.40921849104113467,0.6590457690839762
bilstm,cross,0.47804342305247716,0.6801921960022618,0.8838843088977238,0.9648670657003326,0.14428787868010556,0.802485721617951
gru,cross,0.6456715775926423,0.7971486870332091,0.8884973249112945,0.9633129673082163,0.22751748027911542,0.8528467584827722
transformer,cross,0.44512504615747484,0.6639941994307973,0.878113199634073,0.9769603146984975,0.07408152958666164,0.8059758865352519
φ_agg,cross,0.6285167687469637,0.7919624614778311,0.8145553798947639,0.9453731322473853,0.18165762125943366,0.7108800467036444
